label_i,label_j,s_balanced,p_j_given_i,p_i_given_j
no_crisis,risk_taking_behaviours,0.48528884671108485,0.005195169896096602,0.48009367681498827
anxiety_crisis,no_crisis,0.4170564921531975,0.3358995137763371,0.08115697837686044
risk_taking_behaviours,suicidal_ideation,0.2297263167562107,0.22482435597189696,0.004901960784313725
no_crisis,violent_thoughts,0.14272259613455907,0.006458859870822803,0.13626373626373625
risk_taking_behaviours,substance_abuse_or_withdrawal,0.1303098540803459,0.12646370023419204,0.0038461538461538464
self-harm,suicidal_ideation,0.10025141861902354,0.0830945558739255,0.01715686274509804
risk_taking_behaviours,self-harm,0.09279440086429612,0.06557377049180328,0.027220630372492838
no_crisis,suicidal_ideation,0.09273696841836987,0.03566413928671722,0.05707282913165266
risk_taking_behaviours,violent_thoughts,0.07984147000540442,0.0117096018735363,0.06813186813186813
suicidal_ideation,violent_thoughts,0.07468756733462616,0.008753501400560224,0.06593406593406594
no_crisis,self-harm,0.07443902384073241,0.009969109800617803,0.06446991404011461
anxiety_crisis,suicidal_ideation,0.07041674044009824,0.05956239870340357,0.010854341736694677
no_crisis,substance_abuse_or_withdrawal,0.040384291361544936,0.008845829823083403,0.031538461538461536
anxiety_crisis,substance_abuse_or_withdrawal,0.037575115322279015,0.00526742301458671,0.03230769230769231
self-harm,substance_abuse_or_withdrawal,0.027220630372492838,0.027220630372492838,0.0
self-harm,violent_thoughts,0.024175824175824177,0.0,0.024175824175824177
anxiety_crisis,risk_taking_behaviours,0.020356108540607838,0.0016207455429497568,0.01873536299765808
substance_abuse_or_withdrawal,suicidal_ideation,0.008323637147166559,0.006923076923076923,0.0014005602240896359
anxiety_crisis,violent_thoughts,0.004051863857374392,0.004051863857374392,0.0
anxiety_crisis,self-harm,0.003863783070871627,0.0024311183144246355,0.0014326647564469914
substance_abuse_or_withdrawal,violent_thoughts,0.002197802197802198,0.0,0.002197802197802198
